ec_number,pd_segment,tenor,period,ecl_bucket,avg_marginal_pd_loan,avg_marginal_pd_client,avg_marginal_pd_balance,wa_marginal_pd_loan,wa_marginal_pd_client,wa_marginal_pd_balance,pt_date
EC1,Digital_RCL,2,1,5,1,1,1,1,1,1,3/31/2024
EC1,Digital_SCL,3,3,3,0.854590668,0.858440672,0.880077,0.847119645,0.850917431,0.886557,3/31/2024
EC1,Digital_BCL,6,9,1,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,6,14,1,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,1,5,2,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,6,8,1,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,12,24,1,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,2,14,2,0,0,0,0,0,0,3/31/2024
EC1,Digital_SCL,6,12,5,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,2,24,5,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,3,25,4,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,12,24,5,0,0,0,0,0,0,3/31/2024
EC1,Digital_RCL,3,1,5,1,1,1,1,1,1,3/31/2024
EC1,Digital_BCL,6,8,3,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,12,13,5,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,6,5,1,0.167195358,0.187438237,0.201809,0.110655594,0.121627462,0.148301,3/31/2024
EC1,Digital_BCL,6,17,1,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,12,13,3,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,1,22,1,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,6,15,1,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,2,20,2,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,1,14,2,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,3,6,4,0,0,0,0,0,0,3/31/2024
EC1,Digital_SCL,3,17,1,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,2,21,3,0,0,0,0,0,0,3/31/2024
EC1,Digital_SCL,3,18,1,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,12,8,5,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,12,7,5,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,12,5,3,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,6,21,5,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,6,28,5,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,3,25,5,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,3,24,3,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,18,4,5,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,12,7,4,0,0,0,0,0,0,3/31/2024
EC1,Digital_SCL,3,5,1,0.012772316,0.012501669,0.01509,0.013714847,0.013297176,0.014788,3/31/2024
EC1,Digital_SPL,6,10,4,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,12,21,3,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,3,25,4,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,6,31,3,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,3,31,1,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,3,16,4,0,0,0,0,0,0,3/31/2024
EC1,Digital_SCL,3,19,1,0,0,0,0,0,0,3/31/2024
EC1,Digital_SCL,12,7,1,0.057383041,0.05719697,0.060979,0.000652248,0.001268673,0.000949,3/31/2024
EC1,Digital_BCL,2,10,1,0,0,0,0,0,0,3/31/2024
EC1,Digital_SCL,12,3,2,0.4682064,0.455694951,0.455164,0.43085669,0.414587938,0.426278,3/31/2024
EC1,Digital_BCL,3,24,1,0,0,0,0,0,0,3/31/2024
EC1,Digital_SCL,3,8,3,0,0,0,0,0,0,3/31/2024
