scenario,product,tenor,period,bucket
BASE,Digital_AKL,3,35,2
BASE,Digital_AKL,3,35,3
BASE,Digital_AKL,3,35,4
BASE,Digital_AKL,3,35,5
BASE,Digital_AKL,3,36,1
BASE,Digital_AKL,3,36,2
BASE,Digital_AKL,3,36,3
BASE,Digital_AKL,3,36,4
BASE,Digital_AKL,3,36,5
BASE,Digital_AKL,6,1,1
BASE,Digital_AKL,6,1,2
BASE,Digital_AKL,6,1,3
BASE,Digital_AKL,6,1,4
BASE,Digital_AKL,6,1,5
BASE,Digital_AKL,6,2,1
BASE,Digital_AKL,6,2,2
BASE,Digital_AKL,6,2,3
BASE,Digital_AKL,6,2,4
BASE,Digital_AKL,6,2,5
BASE,Digital_AKL,6,3,1
BASE,Digital_AKL,6,3,2
BASE,Digital_AKL,6,3,3
BASE,Digital_AKL,6,3,4
BASE,Digital_AKL,6,3,5
BASE,Digital_AKL,6,4,1
BASE,Digital_AKL,6,4,2
BASE,Digital_AKL,6,4,3
BASE,Digital_AKL,6,4,4
BASE,Digital_AKL,6,4,5
BASE,Digital_AKL,6,5,1
BASE,Digital_AKL,6,5,2
BASE,Digital_AKL,6,5,3
BASE,Digital_AKL,6,5,4
BASE,Digital_AKL,6,5,5
BASE,Digital_AKL,6,6,1
BASE,Digital_AKL,6,6,2
BASE,Digital_AKL,6,6,3
BASE,Digital_AKL,6,6,4
BASE,Digital_AKL,6,6,5
BASE,Digital_AKL,6,7,1
BASE,Digital_AKL,6,7,2
BASE,Digital_AKL,6,7,3
BASE,Digital_AKL,6,7,4
BASE,Digital_AKL,6,7,5
BASE,Digital_AKL,6,8,1
BASE,Digital_AKL,6,8,2
BASE,Digital_AKL,6,8,3
BASE,Digital_AKL,6,8,4
BASE,Digital_AKL,6,8,5
BASE,Digital_AKL,6,9,1
BASE,Digital_AKL,6,9,2
BASE,Digital_AKL,6,9,3
BASE,Digital_AKL,6,9,4
BASE,Digital_AKL,6,9,5
BASE,Digital_AKL,6,10,1
BASE,Digital_AKL,6,10,2
BASE,Digital_AKL,6,10,3
BASE,Digital_AKL,6,10,4
BASE,Digital_AKL,6,10,5
BASE,Digital_AKL,6,11,1
BASE,Digital_AKL,6,11,2
BASE,Digital_AKL,6,11,3
BASE,Digital_AKL,6,11,4
BASE,Digital_AKL,6,11,5
BASE,Digital_AKL,6,12,1
BASE,Digital_AKL,6,12,2
BASE,Digital_AKL,6,12,3
BASE,Digital_AKL,6,12,4
BASE,Digital_AKL,6,12,5
BASE,Digital_AKL,6,13,1
BASE,Digital_AKL,6,13,2
BASE,Digital_AKL,6,13,3
BASE,Digital_AKL,6,13,4
BASE,Digital_AKL,6,13,5
BASE,Digital_AKL,6,14,1
BASE,Digital_AKL,6,14,2
BASE,Digital_AKL,6,14,3
BASE,Digital_AKL,6,14,4
BASE,Digital_AKL,6,14,5
BASE,Digital_AKL,6,15,1
BASE,Digital_AKL,6,15,2
BASE,Digital_AKL,6,15,3
BASE,Digital_AKL,6,15,4
BASE,Digital_AKL,6,15,5
BASE,Digital_AKL,6,16,1
BASE,Digital_AKL,6,16,2
BASE,Digital_AKL,6,16,3
BASE,Digital_AKL,6,16,4
BASE,Digital_AKL,6,16,5
BASE,Digital_AKL,6,17,1
BASE,Digital_AKL,6,17,2
BASE,Digital_AKL,6,17,3
BASE,Digital_AKL,6,17,4
BASE,Digital_AKL,6,17,5
BASE,Digital_AKL,6,18,1
BASE,Digital_AKL,6,18,2
BASE,Digital_AKL,6,18,3
BASE,Digital_AKL,6,18,4
BASE,Digital_AKL,6,18,5
BASE,Digital_AKL,6,19,1
BASE,Digital_AKL,6,19,2
BASE,Digital_AKL,6,19,3
BASE,Digital_AKL,6,19,4
BASE,Digital_AKL,6,19,5
BASE,Digital_AKL,6,20,1
BASE,Digital_AKL,6,20,2
BASE,Digital_AKL,6,20,3
BASE,Digital_AKL,6,20,4
BASE,Digital_AKL,6,20,5
BASE,Digital_AKL,6,21,1
BASE,Digital_AKL,6,21,2
BASE,Digital_AKL,6,21,3
BASE,Digital_AKL,6,21,4
BASE,Digital_AKL,6,21,5
BASE,Digital_AKL,6,22,1
BASE,Digital_AKL,6,22,2
BASE,Digital_AKL,6,22,3
BASE,Digital_AKL,6,22,4
BASE,Digital_AKL,6,22,5
BASE,Digital_AKL,6,23,1
BASE,Digital_AKL,6,23,2
BASE,Digital_AKL,6,23,3
BASE,Digital_AKL,6,23,4
BASE,Digital_AKL,6,23,5
BASE,Digital_AKL,6,24,1
BASE,Digital_AKL,6,24,2
BASE,Digital_AKL,6,24,3
BASE,Digital_AKL,6,24,4
BASE,Digital_AKL,6,24,5
BASE,Digital_AKL,6,25,1
BASE,Digital_AKL,6,25,2
BASE,Digital_AKL,6,25,3
BASE,Digital_AKL,6,25,4
BASE,Digital_AKL,6,25,5
BASE,Digital_AKL,6,26,1
BASE,Digital_AKL,6,26,2
BASE,Digital_AKL,6,26,3
BASE,Digital_AKL,6,26,4
BASE,Digital_AKL,6,26,5
BASE,Digital_AKL,6,27,1
BASE,Digital_AKL,6,27,2
BASE,Digital_AKL,6,27,3
BASE,Digital_AKL,6,27,4
BASE,Digital_AKL,6,27,5
BASE,Digital_AKL,6,28,1
BASE,Digital_AKL,6,28,2
BASE,Digital_AKL,6,28,3
BASE,Digital_AKL,6,28,4
BASE,Digital_AKL,6,28,5
BASE,Digital_AKL,6,29,1
BASE,Digital_AKL,6,29,2
BASE,Digital_AKL,6,29,3
BASE,Digital_AKL,6,29,4
BASE,Digital_AKL,6,29,5
BASE,Digital_AKL,6,30,1
BASE,Digital_AKL,6,30,2
BASE,Digital_AKL,6,30,3
BASE,Digital_AKL,6,30,4
BASE,Digital_AKL,6,30,5
BASE,Digital_AKL,6,31,1
BASE,Digital_AKL,6,31,2
BASE,Digital_AKL,6,31,3
BASE,Digital_AKL,6,31,4
BASE,Digital_AKL,6,31,5
BASE,Digital_AKL,6,32,1
BASE,Digital_AKL,6,32,2
BASE,Digital_AKL,6,32,3
BASE,Digital_AKL,6,32,4
BASE,Digital_AKL,6,32,5
BASE,Digital_AKL,6,33,1
BASE,Digital_AKL,6,33,2
BASE,Digital_AKL,6,33,3
BASE,Digital_AKL,6,33,4
BASE,Digital_AKL,6,33,5
BASE,Digital_AKL,6,34,1
BASE,Digital_AKL,6,34,2
BASE,Digital_AKL,6,34,3
BASE,Digital_AKL,6,34,4
BASE,Digital_AKL,6,34,5
BASE,Digital_AKL,6,35,1
BASE,Digital_AKL,6,35,2
BASE,Digital_AKL,6,35,3
BASE,Digital_AKL,6,35,4
BASE,Digital_AKL,6,35,5
BASE,Digital_AKL,6,36,1
BASE,Digital_AKL,6,36,2
BASE,Digital_AKL,6,36,3
BASE,Digital_AKL,6,36,4
BASE,Digital_AKL,6,36,5
BASE,Digital_AKL,9,1,1
BASE,Digital_AKL,9,1,2
BASE,Digital_AKL,9,1,3
BASE,Digital_AKL,9,1,4
BASE,Digital_AKL,9,1,5
BASE,Digital_AKL,9,2,1
BASE,Digital_AKL,9,2,2
BASE,Digital_AKL,9,2,3
BASE,Digital_AKL,9,2,4
BASE,Digital_AKL,9,2,5
BASE,Digital_AKL,9,3,1
BASE,Digital_AKL,9,3,2
BASE,Digital_AKL,9,3,3
BASE,Digital_AKL,9,3,4
BASE,Digital_AKL,9,3,5
BASE,Digital_AKL,9,4,1
BASE,Digital_AKL,9,4,2
BASE,Digital_AKL,9,4,3
BASE,Digital_AKL,9,4,4
BASE,Digital_AKL,9,4,5
BASE,Digital_AKL,9,5,1
BASE,Digital_AKL,9,5,2
BASE,Digital_AKL,9,5,3
BASE,Digital_AKL,9,5,4
BASE,Digital_AKL,9,5,5
BASE,Digital_AKL,9,6,1
BASE,Digital_AKL,9,6,2
BASE,Digital_AKL,9,6,3
BASE,Digital_AKL,9,6,4
BASE,Digital_AKL,9,6,5
BASE,Digital_AKL,9,7,1
BASE,Digital_AKL,9,7,2
BASE,Digital_AKL,9,7,3
BASE,Digital_AKL,9,7,4
BASE,Digital_AKL,9,7,5
BASE,Digital_AKL,9,8,1
BASE,Digital_AKL,9,8,2
BASE,Digital_AKL,9,8,3
BASE,Digital_AKL,9,8,4
BASE,Digital_AKL,9,8,5
BASE,Digital_AKL,9,9,1
BASE,Digital_AKL,9,9,2
BASE,Digital_AKL,9,9,3
BASE,Digital_AKL,9,9,4
BASE,Digital_AKL,9,9,5
BASE,Digital_AKL,9,10,1
BASE,Digital_AKL,9,10,2
BASE,Digital_AKL,9,10,3
BASE,Digital_AKL,9,10,4
BASE,Digital_AKL,9,10,5
BASE,Digital_AKL,9,11,1
BASE,Digital_AKL,9,11,2
BASE,Digital_AKL,9,11,3
BASE,Digital_AKL,9,11,4
