scenario,product,tenor,period,bucket
BASE,Digital_KPL,14,13,1
BASE,Digital_KPL,14,13,2
BASE,Digital_KPL,14,13,3
BASE,Digital_KPL,14,13,4
BASE,Digital_KPL,14,13,5
BASE,Digital_KPL,14,14,1
BASE,Digital_KPL,14,14,2
BASE,Digital_KPL,14,14,3
BASE,Digital_KPL,14,14,4
BASE,Digital_KPL,14,14,5
BASE,Digital_KPL,14,15,1
BASE,Digital_KPL,14,15,2
BASE,Digital_KPL,14,15,3
BASE,Digital_KPL,14,15,4
BASE,Digital_KPL,14,15,5
BASE,Digital_KPL,14,16,1
BASE,Digital_KPL,14,16,2
BASE,Digital_KPL,14,16,3
BASE,Digital_KPL,14,16,4
BASE,Digital_KPL,14,16,5
BASE,Digital_KPL,14,17,1
BASE,Digital_KPL,14,17,2
BASE,Digital_KPL,14,17,3
BASE,Digital_KPL,14,17,4
BASE,Digital_KPL,14,17,5
BASE,Digital_KPL,14,18,1
BASE,Digital_KPL,14,18,2
BASE,Digital_KPL,14,18,3
BASE,Digital_KPL,14,18,4
BASE,Digital_KPL,14,18,5
BASE,Digital_KPL,14,19,1
BASE,Digital_KPL,14,19,2
BASE,Digital_KPL,14,19,3
BASE,Digital_KPL,14,19,4
BASE,Digital_KPL,14,19,5
BASE,Digital_KPL,14,20,1
BASE,Digital_KPL,14,20,2
BASE,Digital_KPL,14,20,3
BASE,Digital_KPL,14,20,4
BASE,Digital_KPL,14,20,5
BASE,Digital_KPL,14,21,1
BASE,Digital_KPL,14,21,2
BASE,Digital_KPL,14,21,3
BASE,Digital_KPL,14,21,4
BASE,Digital_KPL,14,21,5
BASE,Digital_KPL,14,22,1
BASE,Digital_KPL,14,22,2
BASE,Digital_KPL,14,22,3
BASE,Digital_KPL,14,22,4
BASE,Digital_KPL,14,22,5
BASE,Digital_KPL,14,23,1
BASE,Digital_KPL,14,23,2
BASE,Digital_KPL,14,23,3
BASE,Digital_KPL,14,23,4
BASE,Digital_KPL,14,23,5
BASE,Digital_KPL,14,24,1
BASE,Digital_KPL,14,24,2
BASE,Digital_KPL,14,24,3
BASE,Digital_KPL,14,24,4
BASE,Digital_KPL,14,24,5
BASE,Digital_KPL,14,25,1
BASE,Digital_KPL,14,25,2
BASE,Digital_KPL,14,25,3
BASE,Digital_KPL,14,25,4
BASE,Digital_KPL,14,25,5
BASE,Digital_KPL,14,26,1
BASE,Digital_KPL,14,26,2
BASE,Digital_KPL,14,26,3
BASE,Digital_KPL,14,26,4
BASE,Digital_KPL,14,26,5
BASE,Digital_KPL,14,27,1
BASE,Digital_KPL,14,27,2
BASE,Digital_KPL,14,27,3
BASE,Digital_KPL,14,27,4
BASE,Digital_KPL,14,27,5
BASE,Digital_KPL,14,28,1
BASE,Digital_KPL,14,28,2
BASE,Digital_KPL,14,28,3
BASE,Digital_KPL,14,28,4
BASE,Digital_KPL,14,28,5
BASE,Digital_KPL,14,29,1
BASE,Digital_KPL,14,29,2
BASE,Digital_KPL,14,29,3
BASE,Digital_KPL,14,29,4
BASE,Digital_KPL,14,29,5
BASE,Digital_KPL,14,30,1
BASE,Digital_KPL,14,30,2
BASE,Digital_KPL,14,30,3
BASE,Digital_KPL,14,30,4
BASE,Digital_KPL,14,30,5
BASE,Digital_KPL,14,31,1
BASE,Digital_KPL,14,31,2
BASE,Digital_KPL,14,31,3
BASE,Digital_KPL,14,31,4
BASE,Digital_KPL,14,31,5
BASE,Digital_KPL,14,32,1
BASE,Digital_KPL,14,32,2
BASE,Digital_KPL,14,32,3
BASE,Digital_KPL,14,32,4
BASE,Digital_KPL,14,32,5
BASE,Digital_KPL,14,33,1
BASE,Digital_KPL,14,33,2
BASE,Digital_KPL,14,33,3
BASE,Digital_KPL,14,33,4
BASE,Digital_KPL,14,33,5
BASE,Digital_KPL,14,34,1
BASE,Digital_KPL,14,34,2
BASE,Digital_KPL,14,34,3
BASE,Digital_KPL,14,34,4
BASE,Digital_KPL,14,34,5
BASE,Digital_KPL,14,35,1
BASE,Digital_KPL,14,35,2
BASE,Digital_KPL,14,35,3
BASE,Digital_KPL,14,35,4
BASE,Digital_KPL,14,35,5
BASE,Digital_KPL,14,36,1
BASE,Digital_KPL,14,36,2
BASE,Digital_KPL,14,36,3
BASE,Digital_KPL,14,36,4
BASE,Digital_KPL,14,36,5
BASE,Digital_KPL,17,1,1
BASE,Digital_KPL,17,1,2
BASE,Digital_KPL,17,1,3
BASE,Digital_KPL,17,1,4
BASE,Digital_KPL,17,1,5
BASE,Digital_KPL,17,2,1
BASE,Digital_KPL,17,2,2
BASE,Digital_KPL,17,2,3
BASE,Digital_KPL,17,2,4
BASE,Digital_KPL,17,2,5
BASE,Digital_KPL,17,3,1
BASE,Digital_KPL,17,3,2
BASE,Digital_KPL,17,3,3
BASE,Digital_KPL,17,3,4
BASE,Digital_KPL,17,3,5
BASE,Digital_KPL,17,4,1
BASE,Digital_KPL,17,4,2
BASE,Digital_KPL,17,4,3
BASE,Digital_KPL,17,4,4
BASE,Digital_KPL,17,4,5
BASE,Digital_KPL,17,5,1
BASE,Digital_KPL,17,5,2
BASE,Digital_KPL,17,5,3
BASE,Digital_KPL,17,5,4
BASE,Digital_KPL,17,5,5
BASE,Digital_KPL,17,6,1
BASE,Digital_KPL,17,6,2
BASE,Digital_KPL,17,6,3
BASE,Digital_KPL,17,6,4
BASE,Digital_KPL,17,6,5
BASE,Digital_KPL,17,7,1
BASE,Digital_KPL,17,7,2
BASE,Digital_KPL,17,7,3
BASE,Digital_KPL,17,7,4
BASE,Digital_KPL,17,7,5
BASE,Digital_KPL,17,8,1
BASE,Digital_KPL,17,8,2
BASE,Digital_KPL,17,8,3
BASE,Digital_KPL,17,8,4
BASE,Digital_KPL,17,8,5
BASE,Digital_KPL,17,9,1
BASE,Digital_KPL,17,9,2
BASE,Digital_KPL,17,9,3
BASE,Digital_KPL,17,9,4
BASE,Digital_KPL,17,9,5
BASE,Digital_KPL,17,10,1
BASE,Digital_KPL,17,10,2
BASE,Digital_KPL,17,10,3
BASE,Digital_KPL,17,10,4
BASE,Digital_KPL,17,10,5
BASE,Digital_KPL,17,11,1
BASE,Digital_KPL,17,11,2
BASE,Digital_KPL,17,11,3
BASE,Digital_KPL,17,11,4
BASE,Digital_KPL,17,11,5
BASE,Digital_KPL,17,12,1
BASE,Digital_KPL,17,12,2
BASE,Digital_KPL,17,12,3
BASE,Digital_KPL,17,12,4
BASE,Digital_KPL,17,12,5
BASE,Digital_KPL,17,13,1
BASE,Digital_KPL,17,13,2
BASE,Digital_KPL,17,13,3
BASE,Digital_KPL,17,13,4
BASE,Digital_KPL,17,13,5
BASE,Digital_KPL,17,14,1
BASE,Digital_KPL,17,14,2
BASE,Digital_KPL,17,14,3
BASE,Digital_KPL,17,14,4
BASE,Digital_KPL,17,14,5
BASE,Digital_KPL,17,15,1
BASE,Digital_KPL,17,15,2
BASE,Digital_KPL,17,15,3
BASE,Digital_KPL,17,15,4
BASE,Digital_KPL,17,15,5
BASE,Digital_KPL,17,16,1
BASE,Digital_KPL,17,16,2
BASE,Digital_KPL,17,16,3
BASE,Digital_KPL,17,16,4
BASE,Digital_KPL,17,16,5
BASE,Digital_KPL,17,17,1
BASE,Digital_KPL,17,17,2
BASE,Digital_KPL,17,17,3
BASE,Digital_KPL,17,17,4
BASE,Digital_KPL,17,17,5
BASE,Digital_KPL,17,18,1
BASE,Digital_KPL,17,18,2
BASE,Digital_KPL,17,18,3
BASE,Digital_KPL,17,18,4
BASE,Digital_KPL,17,18,5
BASE,Digital_KPL,17,19,1
BASE,Digital_KPL,17,19,2
BASE,Digital_KPL,17,19,3
BASE,Digital_KPL,17,19,4
BASE,Digital_KPL,17,19,5
BASE,Digital_KPL,17,20,1
BASE,Digital_KPL,17,20,2
BASE,Digital_KPL,17,20,3
BASE,Digital_KPL,17,20,4
BASE,Digital_KPL,17,20,5
BASE,Digital_KPL,17,21,1
BASE,Digital_KPL,17,21,2
BASE,Digital_KPL,17,21,3
BASE,Digital_KPL,17,21,4
BASE,Digital_KPL,17,21,5
BASE,Digital_KPL,17,22,1
BASE,Digital_KPL,17,22,2
BASE,Digital_KPL,17,22,3
BASE,Digital_KPL,17,22,4
BASE,Digital_KPL,17,22,5
BASE,Digital_KPL,17,23,1
BASE,Digital_KPL,17,23,2
BASE,Digital_KPL,17,23,3
BASE,Digital_KPL,17,23,4
BASE,Digital_KPL,17,23,5
BASE,Digital_KPL,17,24,1
BASE,Digital_KPL,17,24,2
BASE,Digital_KPL,17,24,3
BASE,Digital_KPL,17,24,4
